age;workclass;fnlwgt;education;education_num;marital_status;occupation;relationship;race;sex;hours_per_week;country;salary
(37,43];State-gov;77516;Bachelors;(12,13];Spouseless;Administration;Not-in-family;White or Asian-Pac-Islander;Male;40;US;0
(43,54];Self-emp-not-inc;83311;Bachelors;(12,13];With Spouse;Exec-managerial;Wife or husband;White or Asian-Pac-Islander;Male;<40;US;0
(37,43];Private;215646;High School;(8,9];Spouseless;Service;Not-in-family;White or Asian-Pac-Islander;Male;40;US;0
(43,54];Private;234721;<= 12th;[1,8];With Spouse;Service;Wife or husband;Other;Male;40;US;0
(25,29];Private;338409;Bachelors;(12,13];With Spouse;Prof-specialty;Wife or husband;Other;Female;40;Non-US;0
(35,37];Private;284582;Masters;(13,16];With Spouse;Exec-managerial;Wife or husband;White or Asian-Pac-Islander;Female;40;US;0
(43,54];Private;160187;<= 12th;[1,8];Spouseless;Service;Not-in-family;Other;Female;<40;Non-US;0
(43,54];Self-emp-not-inc;209642;High School;(8,9];With Spouse;Exec-managerial;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;1
(29,33];Private;45781;Masters;(13,16];Spouseless;Prof-specialty;Not-in-family;White or Asian-Pac-Islander;Female;>40;US;1
(37,43];Private;159449;Bachelors;(12,13];With Spouse;Exec-managerial;Wife or husband;White or Asian-Pac-Islander;Male;40;US;1
(35,37];Private;280464;Some-college;(9,10];With Spouse;Exec-managerial;Wife or husband;Other;Male;>40;US;1
(29,33];State-gov;141297;Bachelors;(12,13];With Spouse;Prof-specialty;Wife or husband;White or Asian-Pac-Islander;Male;40;Non-US;1
(21,23];Private;122272;Bachelors;(12,13];Spouseless;Administration;Child or other relative;White or Asian-Pac-Islander;Female;<40;US;0
(29,33];Private;205019;Associate;(10,12];Spouseless;Sales;Not-in-family;Other;Male;>40;US;0
(37,43];Private;121772;Associate;(10,12];With Spouse;Craft-repair;Wife or husband;White or Asian-Pac-Islander;Male;40;Non-US;1
(33,35];Private;245487;<= 12th;[1,8];With Spouse;Transport-moving;Wife or husband;Other;Male;>40;Non-US;0
(23,25];Self-emp-not-inc;176756;High School;(8,9];Spouseless;Agriculture;Child or other relative;White or Asian-Pac-Islander;Male;<40;US;0
(29,33];Private;186824;High School;(8,9];Spouseless;Machine-op-inspct;Unmarried;White or Asian-Pac-Islander;Male;40;US;0
(37,43];Private;28887;<= 12th;[1,8];With Spouse;Sales;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;0
(37,43];Self-emp-not-inc;292175;Masters;(13,16];Spouseless;Exec-managerial;Unmarried;White or Asian-Pac-Islander;Female;>40;US;1
(37,43];Private;193524;Above Masters;(13,16];With Spouse;Prof-specialty;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;1
(43,54];Private;302146;High School;(8,9];Spouseless;Service;Unmarried;Other;Female;<40;US;0
(33,35];Federal-gov;76845;<= 12th;[1,8];With Spouse;Agriculture;Wife or husband;Other;Male;40;US;0
(37,43];Private;117037;<= 12th;[1,8];With Spouse;Transport-moving;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
(54,61];Private;109015;High School;(8,9];Spouseless;Tech and Secutity;Unmarried;White or Asian-Pac-Islander;Female;40;US;0
(54,61];Local-gov;216851;Bachelors;(12,13];With Spouse;Tech and Secutity;Wife or husband;White or Asian-Pac-Islander;Male;40;US;1
[17,21];Private;168294;High School;(8,9];Spouseless;Craft-repair;Child or other relative;White or Asian-Pac-Islander;Male;40;US;0
(43,54];Other;180211;Some-college;(9,10];With Spouse;Other;Wife or husband;White or Asian-Pac-Islander;Male;>40;Non-US;1
(37,43];Private;367260;High School;(8,9];Spouseless;Exec-managerial;Not-in-family;White or Asian-Pac-Islander;Male;>40;US;0
(43,54];Private;193366;High School;(8,9];With Spouse;Craft-repair;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
(21,23];Local-gov;190709;Associate;(10,12];Spouseless;Tech and Secutity;Not-in-family;White or Asian-Pac-Islander;Male;>40;US;0
[17,21];Private;266015;Some-college;(9,10];Spouseless;Sales;Child or other relative;Other;Male;>40;US;0
(43,54];Private;386940;Bachelors;(12,13];Spouseless;Exec-managerial;Child or other relative;White or Asian-Pac-Islander;Male;40;US;0
(29,33];Federal-gov;59951;Some-college;(9,10];With Spouse;Administration;Child or other relative;White or Asian-Pac-Islander;Male;40;US;0
(21,23];State-gov;311512;Some-college;(9,10];With Spouse;Service;Wife or husband;Other;Male;<40;US;0
(43,54];Private;242406;<= 12th;[1,8];Spouseless;Machine-op-inspct;Unmarried;White or Asian-Pac-Islander;Male;40;Non-US;0
